id,course_id,pregunta,n_fuentes,tiene_fuente,hit,t_recuperacion_s,t_primer_token_s,t_generacion_s,respuesta
P051,118788,¿Qué diferencia hay entre un esguince y una luxación?,2,1,1,0.232,3.242,3.91,"¡Hola! Es una excelente pregunta para comprender mejor las lesiones articulares.  Según el material proporcionado, podemos definir una **luxación** de la siguiente manera:  *   **Luxación (o dislocación):** Se produce por la **separación de dos huesos que forman parte de una articulación**. Esta separación conlleva la pérdida de la capacidad funcional de la articulación, impidiendo un movimiento adecuado y produciendo dolor. El material también indica que haber sufrido una luxación incrementa el riesgo de futuras luxaciones en la misma articulación.  Sin embargo, el material que me has proporcionado no contiene información específica sobre qué es un esguince ni sus características. Por lo tanto, no puedo establecer una diferencia directa entre ambos basándome únicamente en este texto."
P052,118788,¿Cómo se clasifican las fracturas según el trazo?,2,1,1,0.232,2.901,3.299,"El material proporcionado clasifica las fracturas en dos tipos principales:  *   **Fractura abierta**: Cuando hay una rotura del hueso y de los tejidos blandos, incluyendo la piel, lo que expone el hueso al exterior. *   **Fractura cerrada**: Cuando la rotura del hueso ocurre sin que la piel se rompa.  Sin embargo, el material disponible no contiene información sobre la clasificación de las fracturas según el trazo (por ejemplo, transversal, oblicua, espiral, etc.)."
P063,3518,¿Cómo se realiza la RCP básica en un adulto?,2,1,1,0.292,3.032,4.999,"¡Excelente pregunta! Es fundamental comprender cómo realizar la Reanimación Cardiopulmonar (RCP) básica, ya que una actuación rápida y eficaz puede marcar una gran diferencia en la supervivencia de una persona.  Basándonos en el material proporcionado, la RCP básica en un adulto se realiza siguiendo estos pasos clave:  1.  **Seguridad y Evaluación Inicial:**     *   Primero, es crucial **guardar la calma** y **acercarse a la escena con seguridad**, aplicando siempre la conducta **PAS** (Proteger, Avisar, Socorrer).     *   Una vez cerca de la víctima, se debe **evaluar los signos de vida**, comprobando si está consciente o inconsciente utilizando la escala **AVDN**.  2.  **Inicio de las Compresiones Torácicas:**     *   Si la persona está en Parada Cardiorespiratoria (PCR), se debe actuar "
P064,3518,¿Cómo se realiza la maniobra de Heimlich en un adulto consciente?,2,1,1,0.248,2.304,3.191,"Hola. Es una excelente pregunta, ya que la maniobra de Heimlich es fundamental en situaciones de obstrucción de la vía aérea.  Según el material proporcionado, la **maniobra de Heimlich** en un adulto consciente se realiza de la siguiente manera:  *   Consiste en seguir el algoritmo de OVACE (Obstrucción de la Vía Aérea por Cuerpo Extraño). *   Se realizan **5 golpes interescapulares** (entre los omóplatos). *   Estos golpes se combinan con **5 compresiones abdominales**. *   Es crucial recordar que estas maniobras se aplican **siempre y cuando el paciente esté consciente**.  El objetivo de esta secuencia es desalojar el objeto que está causando la obstrucción de la vía aérea."
P075,118997,¿Cómo se reconoce una insuficiencia respiratoria en el niño crítico?,1,1,1,0.199,4.412,6.15,"Para reconocer una insuficiencia respiratoria en un niño crítico, es fundamental realizar una inspección cuidadosa de su patrón respiratorio y de los signos de esfuerzo.  Durante la inspección, se deben valorar los siguientes aspectos clave:  *   **Frecuencia respiratoria:** Se observará si la frecuencia respiratoria es anormalmente alta (taquipnea) o baja (bradipnea) para la edad del niño, lo cual puede indicar un esfuerzo compensatorio o un agotamiento. *   **Aleteo nasal:** La presencia de aleteo nasal es un signo claro de que el niño está realizando un esfuerzo adicional para respirar, intentando aumentar el flujo de aire a través de las vías respiratorias. *   **Otros signos de esfuerzo respiratorio:** Además del aleteo nasal, se buscarán otros indicadores de dificultad, como tiraje i"
P076,118997,¿Qué es el triángulo de evaluación pediátrica?,1,1,1,0.188,2.166,2.581,"Estimado alumno,  El material proporcionado menciona el **Triángulo de Evaluación Pediátrica (TEP)** como parte del abordaje en un paciente crítico, indicando que se utiliza antes de la secuencia ABCDE. También señala que en un niño con shock compensado, el TEP se presentará alterado por afectación circulatoria, manifestándose como palidez, reticulado o cianosis.  Sin embargo, el material no detalla qué es el Triángulo de Evaluación Pediátrica en sí mismo, es decir, no explica sus componentes o los parámetros que evalúa."
P082,118997,Calcula la dosis de adrenalina en una parada cardiaca pediátrica para un niño de 20 kg,1,1,1,0.202,2.868,3.22,"Estimado estudiante,  Entiendo tu pregunta sobre el cálculo de la dosis de adrenalina para un niño de 20 kg en parada cardiaca pediátrica.  He revisado el material proporcionado y, aunque se menciona la adrenalina para perfusión continua (0,1-1 μg/kg/minuto) y para nebulización en caso de estridor (0,5 mg/kg), **el material no especifica la dosis de adrenalina para la administración en parada cardiaca pediátrica como una dosis única o bolus**.  Por lo tanto, con la información disponible en este material, no es posible calcular la dosis específica para ese escenario."
P087,118566,¿Cómo se realiza la inmovilización cervical en un politraumatizado?,2,1,1,0.262,4.1,4.252,"Para realizar la inmovilización cervical en un paciente, el material proporcionado indica los siguientes aspectos clave:  1.  **Liderazgo y Posición:** La persona que asume el mando se coloca en la cabeza del paciente. Desde esta posición, dirige toda la operación. 2.  **Técnica Inicial:** Esta persona es la encargada de realizar la **inmovilización cervical bimanual**. 3.  **Coordinación del Equipo:** La inmovilización requiere un trabajo en equipo, donde todos los movimientos deben ser coordinados, suaves y precisos.  El material también menciona la evolución de los métodos de inmovilización cervical: *   Inicialmente, se utilizaba una combinación de un collar suave y una sábana enrollada. *   Posteriormente, en 1974, Hare introdujo el collar cervical rígido, lo que marcó el inicio de un"
P088,118566,¿Cuándo y cómo se coloca un collarín cervical?,2,1,1,0.236,2.661,4.694,"¡Hola! Es una excelente pregunta que aborda aspectos fundamentales sobre el uso y la aplicación de un collarín cervical. Vamos a desglosar la información basándonos en el material que tienes.  ### ¿Cuándo se utiliza un collarín cervical?  El collarín cervical, también conocido como cuello ortopédico, se utiliza principalmente en las siguientes situaciones:  *   **Manejo de lesiones cervicales:** Se aplica en casos de traumatismos, esguinces o latigazos cervicales. *   **Inmovilización y estabilidad:** Su objetivo principal es inmovilizar y mantener estables las vértebras cervicales. *   **Alivio del dolor:** Es útil para aliviar el dolor en lesiones que no requieren una inmovilización estricta del cuello, permitiendo el reposo de los músculos y las articulaciones cervicales, como en el cas"
P098,101439,¿Qué consideraciones anestésicas hay en la paciente embarazada?,1,1,1,0.222,1.949,2.162,"Agradezco tu pregunta. Sin embargo, revisando el material de tus cursos, no encuentro información específica sobre las consideraciones anestésicas en la paciente embarazada.  El texto proporcionado aborda temas como la tromboembolia, el síndrome de apnea obstructiva del sueño (SAOS) y el uso de ciertos anestésicos en contextos específicos, pero no detalla aspectos relacionados con la anestesia durante el embarazo."
P099,101439,¿Cómo se maneja la anestesia en el paciente obeso?,1,1,1,0.198,4.502,5.444,"¡Excelente pregunta! El manejo de la anestesia en el paciente obeso requiere consideraciones específicas debido a sus características fisiológicas. Basándonos en el material proporcionado, podemos destacar los siguientes puntos clave:  En el manejo de la anestesia en pacientes obesos, es fundamental:  *   **Priorizar la Anestesia Regional:** Siempre que sea posible, se debe optar por técnicas de **Anestesia Regional** en lugar de la Anestesia general. *   **Consideración de Vía Aérea y Ventilación Difícil:** A estos pacientes se les debe considerar con una **vía aérea difícil** y **criterios de ventilación difícil**, especialmente debido a la obesidad y el aumento del perímetro cervical. *   **Evitar la Premedicación con Depresores Respiratorios:** Se debe **evitar premedicar** con benzodi"
P110,101442,¿Qué métodos anticonceptivos hormonales existen y cómo actúan?,0,0,0,0.137,,,
P111,101442,¿En qué consiste el cribado del cáncer de cérvix?,3,1,1,0.224,3.879,5.737,"¡Hola! Es una excelente pregunta para comprender los fundamentos del cribado del cáncer de cérvix.  Según el material proporcionado, el **cribado del cáncer de cérvix** consiste principalmente en la realización de **exploraciones complementarias** que buscan detectar posibles alteraciones. Las principales pruebas mencionadas son:  *   **Citología cervical**: Esta prueba se basa en el **estudio morfológico de las células** que se obtienen mediante un rascado o cepillado de la superficie del exocérvix y del endocérvix. Es una de las exploraciones más frecuentes en la consulta ginecológica. *   **Prueba de VPH (Virus del Papiloma Humano)**: Esta prueba se menciona como una opción preferente para el cribado en mujeres entre 30 y 65 años. *   **Co-test**: Es una combinación de la citología y la"
P122,2966,¿Qué diferencias hay entre la diabetes mellitus tipo 1 y la tipo 2?,3,1,1,0.359,8.038,10.066,"¡Excelente pregunta! Entender las diferencias entre la Diabetes Mellitus tipo 1 (DM1) y la tipo 2 (DM2) es fundamental para comprender su fisiopatología y abordaje.  Basándonos en el material proporcionado, podemos destacar las siguientes diferencias clave:  ### **Diabetes Mellitus Tipo 1 (DM1)**  *   **Mecanismo Fisiopatológico:** La DM1 se caracteriza por una **destrucción autoinmune de las células beta pancreáticas**. Esto significa que el propio sistema inmunitario del cuerpo ataca y destruye las células que producen insulina.     *   **Marcadores:** Esta destrucción autoinmune se evidencia por la presencia de **marcadores autoinmunes**, como autoanticuerpos frente a autoantígenos (principalmente frente a cuatro proteínas sintetizadas en los islotes pancreáticos, incluyendo la insulina"
P123,2966,"Si un paciente tiene una HbA1c del 9%, ¿qué indica y qué objetivo se busca?",3,1,1,0.226,5.303,8.342,"Un valor de HbA1c del 9% indica que el control glucémico del paciente está por encima de los objetivos generalmente recomendados. La hemoglobina glicosilada (HbA1c) es el marcador más utilizado para evaluar el efecto del control glucémico sobre las complicaciones crónicas de la diabetes, y su objetivo se establece para minimizar el riesgo de estas complicaciones.  Dado que el 9% es superior a todos los rangos objetivo mencionados en el material, sugiere que el control actual no es el deseado.  El objetivo de HbA1c que se busca varía según las características individuales del paciente, ya que un enfoque personalizado es crucial en el manejo de la diabetes para equilibrar el control glucémico con el riesgo de hipoglucemias y otras comorbilidades. Los objetivos mencionados son:  *   **Objetiv"
P133,2966,Hazme un test sobre la atención al paciente con diabetes,3,1,1,0.266,8.834,11.839,"¡Excelente iniciativa! Realizar un test es una forma muy efectiva de consolidar los conocimientos. Aquí tienes algunas preguntas tipo test basadas exclusivamente en el material proporcionado sobre la atención al paciente con diabetes.  ---  **1. ¿Cuál de las siguientes pruebas se puede utilizar para evaluar la sensibilidad táctil en el pie si no se dispone de monofilamento o diapasón?** A) La prueba de tolerancia a la glucosa oral. B) El test de la sensibilidad táctil de Ipswich. C) La medición de la señal Doppler. D) El perfil glucémico en diferentes momentos del día.  ||Respuesta: B - El material indica que ""En caso de no disponer de monofilamento o de diapasón podemos utilizar el test de la sensibilidad táctil de Ipswich.""||  **2. ¿Qué dedos del pie se exploran específicamente en el tes"
P134,129853,¿Cómo se maneja la disnea en el paciente cardíaco en cuidados paliativos?,2,1,1,0.238,2.271,3.282,"Hola. Es una excelente pregunta que nos permite profundizar en un aspecto crucial de los cuidados paliativos.  Según el material proporcionado, el manejo de la disnea en el paciente cardíaco en cuidados paliativos se aborda de la siguiente manera:  *   **Enfoque integral**: El manejo debe ser completo, combinando tanto **tratamientos farmacológicos** como **no farmacológicos**. *   **Objetivo principal**: Se centra en el **confort** y la **calidad de vida** del paciente. *   **Tratamiento farmacológico clave**: Los **diuréticos** son un tratamiento fundamental. Su objetivo principal es la **descongestión pulmonar**, lo que los convierte en una herramienta esencial para el manejo de la disnea.  En resumen, se busca un abordaje holístico que mejore la calidad de vida del paciente, utilizando"
P135,129853,¿Qué cuidados se priorizan en la insuficiencia cardiaca avanzada?,2,1,1,0.262,3.018,4.165,"En el contexto de la insuficiencia cardíaca avanzada, los cuidados se centran en la **dignidad y el bienestar del enfermo**, priorizando la **identificación y el ajuste del esfuerzo terapéutico** mediante una comunicación abierta y la toma de decisiones compartida.  Esto incluye los siguientes aspectos clave:  *   **Uso de dosis máximas toleradas de tratamiento médico.** *   **Implantación de dispositivos apropiados**, como la terapia de resincronización cardíaca o la reparación valvular. *   **Manejo de todas las causas reversibles de insuficiencia cardíaca.** *   **Manejo del dolor y la disnea**: Se realiza un uso prudente de analgésicos y opioides en dosis bajas, siempre respetando las particularidades de cada paciente. *   **Control de comorbilidades**: Se ajusta el tratamiento en func"
P144,129853,Hazme un test sobre cuidados cardíacos en el paciente paliativo,2,1,1,0.247,5.134,8.469,"¡Excelente iniciativa! Evaluar tus conocimientos es una parte fundamental del proceso de aprendizaje.  He generado algunas preguntas tipo test basadas en el material proporcionado sobre ""Cuidados Cardíacos en el Paciente Paliativo"". Dado que el material es conciso, las preguntas se centran en los puntos clave mencionados.  ---  **Test: Cuidados Cardíacos en el Paciente Paliativo**  1.  Según el material, ¿cuál es un aspecto fundamental en la evaluación del beneficio terapéutico para un paciente paliativo cardíaco?     A) Priorizar siempre la prolongación de la vida, sin importar el sufrimiento.     B) Evitar cualquier intervención que pueda generar el más mínimo malestar.     C) Determinar la relación entre el potencial beneficio de las intervenciones y el impacto en la calidad de vida del"
